,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
486,,2017,2017,200746201980.0,LaMarcus Aldridge,1.92,1.56,37.0,103.24,0.36,156.0,53.0
485,,2017,2017,2039031626204.0,Jordan Clarkson,-1.16,-0.47,328.0,103.27,-0.69,351.0,376.0
486,,2017,2017,2039031626204.0,Larry Nance Jr.,-1.16,-0.47,328.0,103.27,-0.69,351.0,376.0
485,,2017,2017,202340202738.0,Isaiah Thomas,-0.47,-1.92,474.0,103.41,1.45,56.0,302.0
486,,2017,2017,202340202738.0,Avery Bradley,-0.47,-1.92,474.0,103.41,1.45,56.0,302.0
485,,2017,2017,201565204001.0,Derrick Rose,0.57,-0.43,322.0,103.29,1.0,85.0,152.0
486,,2017,2017,201565204001.0,Kristaps Porzingis,0.57,-0.43,322.0,103.29,1.0,85.0,152.0
485,,2017,2017,2730200794.0,Dwight Howard,0.72,1.98,19.0,103.2,-1.26,425.0,137.0
486,,2017,2017,2730200794.0,Paul Millsap,0.72,1.98,19.0,103.2,-1.26,425.0,137.0
485,,2017,2017,202083203552.0,Wesley Matthews,0.91,0.31,166.0,103.29,0.59,128.0,120.0
486,,2017,2017,202083203552.0,Seth Curry,0.91,0.31,166.0,103.29,0.59,128.0,120.0
485,,2017,2017,2015721626178.0,Rondae Hollis-Jefferson,0.85,1.0,75.0,103.24,-0.15,255.0,126.0
486,,2017,2017,2015721626178.0,Brook Lopez,0.85,1.0,75.0,103.24,-0.15,255.0,126.0
485,,2017,2017,203917204456.0,Nik Stauskas,-1.71,-1.08,428.0,103.3,-0.62,339.0,425.0
486,,2017,2017,203917204456.0,T.J. McConnell,-1.71,-1.08,428.0,103.3,-0.62,339.0,425.0
485,,2017,2017,101108201601.0,Luc Mbah a Moute,3.7,2.6,6.0,103.26,1.1,79.0,14.0
486,,2017,2017,101108201601.0,Chris Paul,3.7,2.6,6.0,103.26,1.1,79.0,14.0
486,,2017,2017,202329203468.0,Al-Farouq Aminu,2.74,1.94,20.0,103.28,0.81,104.0,24.0
485,,2017,2017,202329203468.0,CJ McCollum,2.74,1.94,20.0,103.28,0.81,104.0,24.0
485,,2017,2017,203967204456.0,Dario Saric,-0.9,0.51,136.0,103.24,-1.41,437.0,353.0
